id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,maths_int,maths_slope,verbal_int,verbal_slope,verbal_composite,verbal_mean
1187,Male,NA,3,3.3333333333333335,6,0.05851559081277932,NA,NA,4,NA,NA,NA,NA,NA,3.0917188797176993,0.7720337741635772,0.049040640321869965,0.07493994583103349,NA,NaN
4157,Female,-0.6054503583167191,3,3.3333333333333335,5,0.33971879685401146,NA,NA,4,0,NA,NA,NA,-4,2.964557714583235,0.6240223807671261,0.20927646956331494,0.07352354717958022,NA,NaN
10196,Female,-0.9802876665420626,2,2.6666666666666665,4.333333333333333,-0.7935125343408137,-1.1395607865694355,-0.5062233134885341,6,2,2.7777777777777777,2,1.9,-4,2.4271210066890414,0.5726991386082068,-0.7113746980598843,0.06589623959831097,-1.1108961511982365,-0.8228920500289848
10726,Male,-1.0724971659930989,2,2.3333333333333335,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.305311923894714,0.5192612880002344,NA,NA,NA,NaN
11710,Female,1.3937521735798384,4,4.666666666666667,6,0.7509042113438278,-0.08272270159566836,-0.13562291173247368,10,7,2.888888888888889,3.5714285714285716,3.4,-3,3.7032255330212607,0.7328841930098404,0.11855433893469372,0.03156299248504297,-0.013030956060330043,-0.10917280666407102
11752,Female,-1.1712649677039098,2,2,3,-1.5056726856545026,-1.149322022921599,-1.7151222118722123,5,3,2.3333333333333335,1,2.2,-2,2.0987287310107456,0.3671491751279611,-1.1785111851290886,0.0247043277460246,-1.7304490207945982,-1.4322221173969056
12733,Male,2.0011491846720357,3,4,7,0.8512291236184519,1.657599662832049,1.5965101531225339,6.25,4,1.5555555555555556,1,1.1,-2.25,3.3777241003511724,0.9282466065116726,0.9762168334070902,0.11370906526863965,1.4089394369460597,1.6270549079772914
15703,Female,1.1864688722449896,3,4,5.666666666666667,NA,-0.8508043627683671,NA,NA,1,NA,NA,NA,NA,3.208175880171888,0.7308980819830713,-0.5046752306611516,0.06605802668756171,NA,-0.8508043627683671
16196,Female,0.16222933859621513,3.6666666666666665,4,4.666666666666667,0.6604650644605238,0.3172363142387908,NA,0,4,NA,NA,NA,4,3.276893743241119,0.5458517158819365,0.3400347169346696,0.06928986216276739,NA,0.3172363142387908
16654,Male,0.6033407822212249,3,3,5,2.0946711324792213,2.244873746786349,0.9753133923302135,0,0,1.3333333333333333,1.2857142857142858,1.5,0,2.8851356868337303,0.6199216612913039,1.383842740149158,0.038191716362839315,1.867169009211379,1.6100935695582812
16678,Female,-0.5508393017825924,3,3,5,-0.3823271198509974,0.47364080057678126,NA,1,0,NA,NA,NA,-1,2.8851356868337303,0.6199216612913039,0.01005351107459232,0.08784301597159958,NA,0.47364080057678126
17608,Male,-1.1444299705447565,3.3333333333333335,5,6,-0.8641801504414777,NA,-0.17135050981349995,2,2,NA,NA,NA,0,3.5867685325670724,0.7740198851903461,-0.4566568444856002,0.08303876334259123,NA,-0.17135050981349995
17617,Female,1.3856405347574203,3.3333333333333335,3,6,-0.152019999127789,1.7480034514412486,1.1087152843303993,1,0,1.7777777777777777,1.4285714285714286,1.8,-1,3.110236366070041,0.7494155683354132,0.5964231689421412,0.11988745738003834,0.9830088215786268,1.428359367885824
17644,Male,0.8827518208620144,3.3333333333333335,4,5.666666666666667,-0.1915630606930692,1.154221876585506,NA,1,NA,NA,NA,NA,NA,3.3061153942737347,0.7123805956307294,0.32182352138098125,0.09710431484188942,NA,1.154221876585506
17653,Female,-0.821356245102696,3,3,4,-0.2113345914757094,-1.0377688888827123,NA,5,1,NA,NA,NA,-4,2.757974521699266,0.47191026789485296,-0.4625316013642661,0.05828775648980807,NA,-1.0377688888827123
17659,Female,-0.09987681973618223,3,2,3,-0.2721164421850532,-0.8650956752911164,0.28129336170127106,2,0,4.666666666666667,1.4285714285714286,2.5,-2,2.3925472733162865,0.3115967160709353,-0.3171323495323052,0.08983881021971168,-0.5625758232723626,-0.2919011567949227
18616,Male,0.7494023958806313,3.6666666666666665,4,5,-0.1816772953017492,NA,NA,5,3,1.5555555555555556,1.5714285714285714,1.8,-2,3.31928079828594,0.5951888470140869,-0.08782659823590842,0.07614977869450162,NA,NaN
18661,Male,0.19929605572607012,3.3333333333333335,4,6,1.9943462202045972,0.915547965265119,1.871669235839499,1,1,1.1111111111111112,1.8571428571428572,1.4,0,3.348502449318557,0.7617177267628796,1.1783278250762004,0.09420810656383846,1.499713276875703,1.393608600552309
18748,Male,1.7860772134315945,3,3.3333333333333335,5,0.9614398012843962,0.1026149517933163,1.0199728899314966,0,0,2.111111111111111,1.2857142857142858,1,0,2.964557714583235,0.6240223807671261,0.47028862756055967,0.08547537559741306,0.5176651547610525,0.5612939208624065
19666,Female,-0.891367377137223,2,3,4,0.8512291236184519,0.7737853334553735,0.5053823225785924,5,7,NA,NA,NA,2,2.464155979393725,0.5274627269518786,0.5125654796104454,0.059100148261670336,0.6333255961855074,0.639583828016983
25196,Female,1.6329160470085236,3.6666666666666665,3,6,-0.5730911790089255,-1.1733745717965112,-0.42641281860988783,7,1,1.3333333333333333,1.4285714285714286,2.5,-6,3.208175880171889,0.7308980819830713,-0.637336560081744,0.06313779887907149,-1.0328755957429774,-0.7998936952031995
26186,Female,1.0232824650709795,3,3,5,0.11929744152212308,0.1431114989245822,0.49645042305833587,2,2,NA,NA,NA,0,2.8851356868337303,0.6199216612913039,0.11843600439389786,0.08473377040669626,0.10605679816660964,0.31978096099145903
