id_fam,sex1,ases,maths_09,maths_10,maths_12,verbal_09_z,verbal_10_z,verbal_12_z,sdq_09,sdq_12,maths_anx_18,anx_spaa_18,spatial_anx_18,sdq_change,verbal_mean,maths_int,maths_slope
722116,Female,NA,NA,NA,5,NA,NA,-0.7812382460045838,NA,4,NA,NA,NA,NA,-0.7812382460045838,3.1018367042232278,0.5885778537008397
722215,Male,0.3067722116825251,3,NA,NA,0.7311326805611877,0.4382001426243448,-0.027072043814824913,4,0,1.2222222222222223,1,1.5,-4,0.20556404940475995,2.9466572551539225,0.4979871713108752
722413,Male,2.1043766545035925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
722512,Male,1.1845608402605423,3,4,NA,-1.5961118325378065,0.17349626769818904,NA,1,0,NA,NA,NA,-1,0.17349626769818904,3.132614911167661,0.5714225983147779
722518,Male,0.11073092332362085,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.3999253260093276,0.2913989986057829
722611,Female,1.7650886507121666,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.7508810151162777,0.43998842615331124
722617,Male,-0.1646331818841751,NA,NA,4,NA,NA,-0.4352005679292288,NA,NA,NA,NA,NA,NA,-0.4352005679292288,2.7508810151162777,0.43998842615331124
722710,Male,-1.1313538113355346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
722716,Female,1.7049465400207253,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NaN,NA,NA
722815,Male,-0.6648266397527943,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.4288324743984844,0.47328503958191825
722914,Female,-0.07327417883310625,3,NA,NA,NA,-1.0925567485367274,NA,NA,NA,NA,NA,NA,NA,-1.0925567485367274,2.9466572551539225,0.4979871713108752
723016,Female,-0.7947250623339601,3,3,NA,0.2591654153620275,0.6898890357476163,0.17692014314191917,5,6,NA,NA,NA,1,0.43340458944476773,2.7977705972266005,0.4391912306948618
723115,Female,-0.6306909955335716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723119,Male,-1.5045537917964464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723137,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723214,Female,-1.0255709964753192,2.3333333333333335,3,5.333333333333333,0.6604650644605238,NA,-0.036003943335081494,6,NA,NA,NA,NA,NA,-0.036003943335081494,2.6916640025086327,0.705734714840607
723412,Female,0.8434903681503556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723418,Female,0.577719961463489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723511,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723517,Male,0.1897523560900705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
723610,Male,-0.3027825041701252,NA,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NaN,3.210145654435628,0.5642579325340042
723616,Male,-0.8840424961740361,NA,NA,4,NA,NA,-0.12474633773398439,NA,3,NA,NA,NA,NA,-0.12474633773398439,2.7508810151162777,0.43998842615331124
723715,Male,-1.064066398945081,NA,NA,NA,-1.3855762425972384,-1.6425880308104825,-1.9902812945891775,6,2,NA,NA,NA,-4,-1.81643466269983,NA,NA
723814,Female,-0.2532905531739929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724015,Male,-0.24502743672595764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724114,Female,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,2.3673314455580687,0.4489980356967883
724127,Male,1.4081575147729297,2.6666666666666665,4,NA,0.19838356465268364,-0.9426597531001792,1.6322377512035604,6,3,NA,NA,NA,-3,0.3447889990516906,3.009635536891622,0.5827872012771299
724187,Male,0.3264144776948948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724196,Male,-0.5724398123082102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724318,Male,-0.28284705408942035,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,3.1018367042232278,0.5885778537008397
724417,Female,-0.0755746509524991,NA,NA,5,NA,NA,NA,NA,0,NA,NA,NA,NA,NaN,3.1018367042232278,0.5885778537008397
724510,Female,-0.006704121403581636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA
724516,Female,-0.08925992069019421,NA,NA,3.3333333333333335,NA,NA,-1.2714102398776976,NA,0,NA,NA,NA,NA,-1.2714102398776976,2.516910555711644,0.3409288077882925
